,Chitwan,NewYork,Bonn,Sydney
2020010321,0.0,9.66,0.0,480.55
2020010322,0.0,0.0,0.0,674.68
2020010323,0.0,0.0,0.0,826.77
2020010400,0.0,0.0,0.0,964.71
2020010401,19.84,0.0,0.0,918.36
2020010402,91.53,0.0,0.0,979.58
2020010403,187.8,0.0,0.0,898.3
2020010404,270.64,0.0,0.0,743.73
2020010405,415.52,0.0,0.0,578.82
2020010406,423.81,0.0,0.0,378.71
2020010407,381.8,0.0,0.0,183.97
2020010408,357.43,0.0,45.54,49.57
2020010409,232.79,0.0,64.45,0.0
2020010410,107.64,0.0,127.71,0.0
2020010411,16.34,0.0,138.99,0.0
2020010412,0.0,8.19,118.28,0.0
2020010413,0.0,17.64,71.89,0.0
2020010414,0.0,37.38,31.8,0.0
2020010415,0.0,40.81,10.05,0.0
2020010416,0.0,63.42,0.0,0.0
2020010417,0.0,113.51,0.0,0.0
2020010418,0.0,82.29,0.0,0.0
2020010419,0.0,68.7,0.0,58.29
2020010420,0.0,20.02,0.0,175.52
2020010421,0.0,10.86,0.0,313.95
2020010422,0.0,0.0,0.0,464.82
2020010423,0.0,0.0,0.0,670.3
2020010500,0.0,0.0,0.0,796.7
2020010501,26.55,0.0,0.0,843.71
2020010502,137.46,0.0,0.0,886.08
2020010503,256.47,0.0,0.0,771.4
2020010504,384.48,0.0,0.0,634.52
2020010505,432.94,0.0,0.0,351.6
2020010506,436.81,0.0,0.0,222.76
2020010507,414.16,0.0,0.0,107.56
2020010508,315.4,0.0,66.32,29.8
2020010509,210.06,0.0,151.68,0.0
2020010510,107.84,0.0,58.82,0.0
2020010511,18.28,0.0,69.94,0.0
2020010512,0.0,11.42,53.2,0.0
2020010513,0.0,83.19,34.78,0.0
2020010514,0.0,193.92,55.13,0.0
2020010515,0.0,321.52,11.7,0.0
2020010516,0.0,295.75,0.0,0.0
2020010517,0.0,331.22,0.0,0.0
2020010518,0.0,266.21,0.0,0.0
2020010519,0.0,203.66,0.0,26.03
2020010520,0.0,92.97,0.0,93.39
2020010521,0.0,16.64,0.0,156.97
2020010522,0.0,0.0,0.0,217.77
2020010523,0.0,0.0,0.0,309.83
2020010600,0.0,0.0,0.0,354.27
2020010601,22.3,0.0,0.0,400.2
2020010602,95.2,0.0,0.0,487.58
2020010603,199.8,0.0,0.0,522.11
2020010604,292.81,0.0,0.0,460.96
2020010605,438.57,0.0,0.0,285.66
2020010606,432.71,0.0,0.0,141.16
2020010607,398.0,0.0,0.0,47.71
2020010608,339.26,0.0,63.21,25.5
2020010609,219.92,0.0,175.26,0.0
2020010610,109.91,0.0,251.52,0.0
2020010611,19.05,0.0,280.2,0.0
2020010612,0.0,9.78,265.78,0.0
2020010613,0.0,85.93,209.55,0.0
2020010614,0.0,206.48,108.93,0.0
2020010615,0.0,333.1,16.9,0.0
2020010616,0.0,390.75,0.0,0.0
2020010617,0.0,278.13,0.0,0.0
2020010618,0.0,235.8,0.0,0.0
2020010619,0.0,185.52,0.0,26.02
2020010620,0.0,114.85,0.0,95.19
2020010621,0.0,24.51,0.0,194.23
2020010622,0.0,0.0,0.0,277.1
2020010623,0.0,0.0,0.0,328.88
2020010700,0.0,0.0,0.0,366.31
2020010701,23.45,0.0,0.0,451.97
2020010702,150.58,0.0,0.0,383.77
2020010703,313.91,0.0,0.0,568.55
2020010704,455.44,0.0,0.0,501.49
2020010705,486.98,0.0,0.0,510.3
2020010706,380.77,0.0,0.0,357.87
2020010707,372.18,0.0,0.0,174.94
2020010708,316.55,0.0,47.33,43.14
2020010709,193.88,0.0,76.64,0.0
2020010710,105.72,0.0,139.32,0.0
2020010711,17.23,0.0,140.23,0.0
2020010712,0.0,8.7,125.53,0.0
2020010713,0.0,55.55,103.48,0.0
2020010714,0.0,159.62,61.45,0.0
2020010715,0.0,231.09,14.41,0.0
2020010716,0.0,188.09,0.0,0.0
2020010717,0.0,238.84,0.0,0.0
2020010718,0.0,231.89,0.0,0.0
2020010719,0.0,122.48,0.0,42.99
2020010720,0.0,53.52,0.0,114.49
2020010721,0.0,13.5,0.0,216.92
2020010722,0.0,0.0,0.0,345.54
2020010723,0.0,0.0,0.0,447.17
2020010800,0.0,0.0,0.0,671.2
2020010801,16.29,0.0,0.0,755.57
2020010802,71.83,0.0,0.0,799.34
2020010803,174.62,0.0,0.0,804.81
2020010804,141.17,0.0,0.0,645.2
2020010805,200.7,0.0,0.0,415.86
2020010806,205.56,0.0,0.0,277.02
2020010807,128.38,0.0,0.0,135.34
2020010808,132.0,0.0,33.28,31.8
2020010809,61.3,0.0,73.6,0.0
2020010810,16.92,0.0,100.94,0.0
2020010811,12.27,0.0,95.7,0.0
2020010812,0.0,12.69,118.68,0.0
2020010813,0.0,102.3,64.3,0.0
2020010814,0.0,246.8,37.78,0.0
2020010815,0.0,368.09,9.91,0.0
2020010816,0.0,402.34,0.0,0.0
2020010817,0.0,358.05,0.0,0.0
2020010818,0.0,294.75,0.0,0.0
2020010819,0.0,226.73,0.0,36.63
2020010820,0.0,114.05,0.0,49.38
2020010821,0.0,24.66,0.0,90.37
2020010822,0.0,0.0,0.0,168.14
2020010823,0.0,0.0,0.0,265.38
2020010900,0.0,0.0,0.0,324.45
2020010901,15.94,0.0,0.0,343.88
2020010902,69.52,0.0,0.0,368.72
2020010903,111.07,0.0,0.0,393.95
2020010904,168.27,0.0,0.0,403.23
2020010905,178.41,0.0,0.0,243.09
2020010906,233.62,0.0,0.0,148.59
2020010907,246.96,0.0,0.0,74.73
2020010908,218.88,0.0,22.93,22.3
2020010909,160.47,0.0,21.05,0.0
2020010910,85.9,0.0,57.25,0.0
2020010911,18.59,0.0,44.33,0.0
2020010912,0.0,17.56,70.51,0.0
2020010913,0.0,140.43,65.59,0.0
2020010914,0.0,298.67,25.84,0.0
2020010915,0.0,414.81,10.4,0.0
2020010916,0.0,481.02,0.0,0.0
2020010917,0.0,442.02,0.0,0.0
2020010918,0.0,390.07,0.0,0.0
2020010919,0.0,283.61,0.0,41.11
2020010920,0.0,139.89,0.0,131.14
2020010921,0.0,21.02,0.0,263.51
2020010922,0.0,0.0,0.0,531.3
2020010923,0.0,0.0,0.0,757.18
2020011000,0.0,0.0,0.0,922.14
2020011001,24.11,0.0,0.0,987.38
2020011002,119.45,0.0,0.0,988.24
2020011003,251.33,0.0,0.0,923.03
2020011004,360.15,0.0,0.0,833.44
2020011005,417.48,0.0,0.0,655.88
2020011006,481.08,0.0,0.0,449.77
2020011007,443.12,0.0,0.0,217.91
2020011008,390.77,0.0,44.05,48.98
2020011009,275.09,0.0,63.73,0.0
2020011010,144.19,0.0,121.34,0.0
2020011011,24.84,0.0,69.13,0.0
2020011012,0.0,12.11,70.03,0.0
2020011013,0.0,41.7,59.07,0.0
2020011014,0.0,108.2,40.1,0.0
2020011015,0.0,139.48,12.34,0.0
2020011016,0.0,194.09,0.0,0.0
2020011017,0.0,246.48,0.0,0.0
2020011018,0.0,265.13,0.0,0.0
2020011019,0.0,188.5,0.0,12.4
2020011020,0.0,104.24,0.0,33.78
2020011021,0.0,22.96,0.0,84.33
2020011022,0.0,0.0,0.0,106.52
2020011023,0.0,0.0,0.0,165.0
2020011100,0.0,0.0,0.0,155.63
2020011101,25.02,0.0,0.0,159.73
2020011102,92.38,0.0,0.0,293.74
2020011103,176.28,0.0,0.0,295.7
2020011104,267.97,0.0,0.0,255.87
2020011105,284.82,0.0,0.0,183.43
2020011106,330.98,0.0,0.0,139.46
2020011107,339.23,0.0,0.0,54.01
2020011108,311.06,0.0,50.19,23.85
2020011109,218.57,0.0,78.77,0.0
2020011110,116.72,0.0,137.23,0.0
2020011111,26.87,0.0,123.2,0.0
2020011112,0.0,10.95,135.95,0.0
2020011113,0.0,90.77,114.05,0.0
2020011114,0.0,172.85,68.7,0.0
2020011115,0.0,274.97,15.87,0.0
2020011116,0.0,320.4,0.0,0.0
2020011117,0.0,329.93,0.0,0.0
2020011118,0.0,274.77,0.0,0.0
2020011119,0.0,227.81,0.0,43.49
2020011120,0.0,110.58,0.0,142.9
2020011121,0.0,19.67,0.0,299.93
2020011122,0.0,0.0,0.0,384.13
2020011123,0.0,0.0,0.0,517.2
2020011200,0.0,0.0,0.0,499.53
2020011201,20.84,0.0,0.0,574.26
2020011202,125.2,0.0,0.0,505.65
2020011203,244.84,0.0,0.0,387.25
2020011204,356.17,0.0,0.0,241.88
2020011205,419.42,0.0,0.0,177.33
2020011206,527.06,0.0,0.0,115.3
2020011207,535.7,0.0,0.0,62.08
2020011208,404.89,0.0,51.9,44.49
2020011209,313.78,0.0,103.41,0.0
2020011210,161.62,0.0,149.59,0.0
2020011211,28.02,0.0,140.05,0.0
2020011212,0.0,11.69,105.01,0.0
2020011213,0.0,100.88,83.8,0.0
2020011214,0.0,215.82,35.38,0.0
2020011215,0.0,335.55,15.53,0.0
2020011216,0.0,452.3,0.0,0.0
2020011217,0.0,447.95,0.0,0.0
2020011218,0.0,419.07,0.0,0.0
2020011219,0.0,322.5,0.0,37.94
2020011220,0.0,175.91,0.0,186.81
2020011221,0.0,33.38,0.0,398.3
2020011222,0.0,0.0,0.0,560.41
2020011223,0.0,0.0,0.0,714.36
2020011300,0.0,0.0,0.0,753.1
2020011301,23.59,0.0,0.0,816.91
2020011302,125.33,0.0,0.0,849.87
2020011303,242.05,0.0,0.0,858.41
2020011304,362.06,0.0,0.0,739.25
2020011305,415.27,0.0,0.0,600.7
2020011306,515.29,0.0,0.0,417.27
2020011307,490.97,0.0,0.0,229.23
2020011308,496.29,0.0,46.78,59.0
2020011309,368.7,0.0,96.98,0.0
2020011310,197.64,0.0,124.95,0.0
2020011311,31.17,0.0,130.4,0.0
2020011312,0.0,12.7,153.04,0.0
2020011313,0.0,52.87,117.04,0.0
2020011314,0.0,106.91,82.16,0.0
2020011315,0.0,151.48,19.51,0.0
2020011316,0.0,162.19,0.0,0.0
2020011317,0.0,154.31,0.0,0.0
2020011318,0.0,143.21,0.0,0.0
2020011319,0.0,131.81,0.0,48.38
2020011320,0.0,54.86,0.0,210.44
2020011321,0.0,15.02,0.0,390.5
2020011322,0.0,0.0,0.0,507.45
2020011323,0.0,0.0,0.0,664.61
2020011400,0.0,0.0,0.0,776.31
2020011401,24.16,0.0,0.0,862.16
2020011402,138.28,0.0,0.0,891.8
2020011403,295.57,0.0,0.0,872.62
2020011404,428.37,0.0,0.0,820.22
2020011405,524.3,0.0,0.0,662.21
2020011406,638.66,0.0,0.0,360.5
2020011407,633.19,0.0,6.85,200.31
2020011408,548.3,0.0,33.97,62.73
2020011409,389.31,0.0,62.5,0.0
2020011410,198.11,0.0,94.2,0.0
2020011411,30.12,0.0,101.7,0.0
2020011412,0.0,8.62,101.59,0.0
2020011413,0.0,25.4,108.64,0.0
2020011414,0.0,61.8,53.3,0.0
2020011415,0.0,91.13,15.77,0.0
2020011416,0.0,103.68,0.0,0.0
2020011417,0.0,151.59,0.0,0.0
2020011418,0.0,105.13,0.0,0.0
2020011419,0.0,48.91,0.0,29.73
2020011420,0.0,27.99,0.0,150.18
2020011421,0.0,15.43,0.0,335.73
2020011422,0.0,0.0,0.0,492.1
2020011423,0.0,0.0,0.0,609.58
2020011500,0.0,0.0,0.0,750.09
2020011501,29.7,0.0,0.0,821.38
2020011502,146.88,0.0,0.0,801.86
2020011503,334.08,0.0,0.0,771.43
2020011504,480.93,0.0,0.0,604.87
2020011505,630.72,0.0,0.0,466.5
2020011506,661.81,0.0,0.0,305.47
2020011507,651.23,0.0,7.95,155.16
2020011508,554.76,0.0,50.09,38.62
2020011509,401.66,0.0,124.77,0.0
2020011510,206.06,0.0,166.0,0.0
2020011511,33.26,0.0,211.98,0.0
2020011512,0.0,16.38,210.18,0.0
2020011513,0.0,135.28,175.3,0.0
2020011514,0.0,281.28,78.34,0.0
2020011515,0.0,414.26,21.59,0.0
2020011516,0.0,483.13,0.0,0.0
2020011517,0.0,488.36,0.0,0.0
2020011518,0.0,437.15,0.0,0.0
2020011519,0.0,331.59,0.0,25.16
2020011520,0.0,164.7,0.0,99.88
2020011521,0.0,37.05,0.0,229.08
2020011522,0.0,0.0,0.0,360.2
2020011523,0.0,0.0,0.0,431.99
2020011600,0.0,0.0,0.0,463.73
2020011601,16.45,0.0,0.0,439.02
2020011602,53.63,0.0,0.0,165.89
2020011603,121.92,0.0,0.0,223.38
2020011604,208.89,0.0,0.0,320.56
2020011605,193.38,0.0,0.0,303.16
2020011606,243.03,0.0,0.0,206.13
2020011607,196.09,0.0,7.87,112.92
2020011608,144.6,0.0,80.22,27.41
2020011609,77.42,0.0,152.8,0.0
2020011610,30.41,0.0,230.68,0.0
2020011611,16.22,0.0,240.62,0.0
2020011612,0.0,12.24,248.3,0.0
2020011613,0.0,95.1,195.62,0.0
2020011614,0.0,211.08,135.15,0.0
2020011615,0.0,277.07,33.16,0.0
2020011616,0.0,337.2,0.0,0.0
2020011617,0.0,359.83,0.0,0.0
2020011618,0.0,319.23,0.0,0.0
2020011619,0.0,214.7,0.0,22.94
2020011620,0.0,119.65,0.0,84.91
2020011621,0.0,31.73,0.0,196.42
2020011622,0.0,0.0,0.0,226.55
2020011623,0.0,0.0,0.0,218.46
2020011700,0.0,0.0,0.0,257.68
2020011701,14.38,0.0,0.0,263.81
2020011702,24.05,0.0,0.0,291.27
2020011703,58.41,0.0,0.0,309.4
2020011704,91.16,0.0,0.0,236.48
2020011705,88.77,0.0,0.0,156.21
2020011706,119.66,0.0,0.0,112.88
2020011707,108.38,0.0,7.11,72.84
2020011708,90.0,0.0,44.23,28.38
2020011709,63.36,0.0,75.14,0.0
2020011710,28.85,0.0,128.38,0.0
2020011711,13.28,0.0,93.2,0.0
2020011712,0.0,22.19,67.06,0.0
2020011713,0.0,155.04,52.01,0.0
2020011714,0.0,323.48,23.85,0.0
2020011715,0.0,457.9,15.31,0.0
2020011716,0.0,528.24,0.0,0.0
2020011717,0.0,536.88,0.0,0.0
2020011718,0.0,486.28,0.0,0.0
2020011719,0.0,376.92,0.0,17.7
2020011720,0.0,206.56,0.0,57.53
2020011721,0.0,47.22,0.0,103.59
2020011722,0.0,0.0,0.0,243.45
2020011723,0.0,0.0,0.0,251.4
2020011800,0.0,0.0,0.0,367.45
2020011801,18.77,0.0,0.0,330.03
2020011802,93.16,0.0,0.0,346.59
2020011803,181.77,0.0,0.0,359.3
2020011804,250.9,0.0,0.0,305.07
2020011805,370.01,0.0,0.0,257.09
2020011806,447.56,0.0,0.0,168.81
2020011807,448.84,0.0,7.1,78.64
2020011808,404.97,0.0,44.23,28.9
2020011809,299.37,0.0,80.12,0.0
2020011810,169.94,0.0,125.21,0.0
2020011811,32.74,0.0,152.8,0.0
2020011812,0.0,11.08,165.31,0.0
2020011813,0.0,49.77,117.34,0.0
2020011814,0.0,129.07,80.15,0.0
2020011815,0.0,167.53,29.19,0.0
2020011816,0.0,106.96,0.0,0.0
2020011817,0.0,65.78,0.0,0.0
2020011818,0.0,105.29,0.0,0.0
2020011819,0.0,58.23,0.0,21.14
2020011820,0.0,25.27,0.0,106.23
2020011821,0.0,17.48,0.0,240.38
2020011822,0.0,0.0,0.0,315.16
2020011823,0.0,0.0,0.0,342.83
2020011900,0.0,0.0,0.0,460.35
2020011901,16.42,0.0,0.0,659.93
2020011902,83.41,0.0,0.0,680.66
2020011903,183.44,0.0,0.0,607.77
2020011904,235.74,0.0,0.0,475.06
2020011905,279.12,0.0,0.0,421.4
2020011906,445.81,0.0,0.0,276.09
2020011907,478.73,0.0,7.91,162.7
2020011908,387.65,0.0,53.76,47.02
2020011909,261.77,0.0,102.91,0.0
2020011910,136.56,0.0,103.9,0.0
2020011911,27.98,0.0,135.3,0.0
2020011912,0.0,16.61,141.8,0.0
2020011913,0.0,120.11,98.59,0.0
2020011914,0.0,269.19,58.7,0.0
2020011915,0.0,404.48,25.82,0.0
2020011916,0.0,390.84,0.0,0.0
2020011917,0.0,390.77,0.0,0.0
2020011918,0.0,358.3,0.0,0.0
2020011919,0.0,249.95,0.0,36.9
2020011920,0.0,131.37,0.0,184.09
2020011921,0.0,37.41,0.0,404.8
2020011922,0.0,0.0,0.0,575.65
2020011923,0.0,0.0,0.0,785.6
2020012000,0.0,0.0,0.0,837.65
2020012001,30.16,0.0,0.0,966.04
2020012002,144.33,0.0,0.0,899.65
2020012003,312.94,0.0,0.0,527.37
2020012004,440.7,0.0,0.0,413.88
2020012005,555.49,0.0,0.0,572.91
2020012006,564.72,0.0,0.0,374.36
2020012007,517.81,0.0,8.39,180.84
2020012008,450.68,0.0,81.77,40.47
2020012009,311.7,0.0,148.38,0.0
2020012010,155.75,0.0,168.0,0.0
2020012011,32.4,0.0,188.77,0.0
2020012012,0.0,23.09,178.32,0.0
2020012013,0.0,153.48,154.43,0.0
2020012014,0.0,337.23,100.33,0.0
2020012015,0.0,457.28,30.5,0.0
2020012016,0.0,521.88,0.0,0.0
2020012017,0.0,536.92,0.0,0.0
2020012018,0.0,479.3,0.0,0.0
2020012019,0.0,373.8,0.0,37.42
2020012020,0.0,206.68,0.0,220.95
2020012021,0.0,52.05,0.0,437.62
2020012022,0.0,0.0,0.0,665.23
2020012023,0.0,0.0,0.0,845.95
2020012100,0.0,0.0,0.0,971.89
2020012101,17.39,0.0,0.0,1018.59
2020012102,83.12,0.0,0.0,1013.92
2020012103,192.92,0.0,0.0,955.09
2020012104,291.5,0.0,0.0,847.84
2020012105,389.56,0.0,0.0,686.03
2020012106,491.26,0.0,0.0,478.4
2020012107,455.63,0.0,10.11,260.68
2020012108,392.05,0.0,97.44,62.53
2020012109,280.33,0.0,204.24,0.0
2020012110,149.53,0.0,281.92,0.0
2020012111,32.66,0.0,326.45,0.0
2020012112,0.0,24.76,313.97,0.0
2020012113,0.0,156.36,256.16,0.0
2020012114,0.0,340.5,158.05,0.0
2020012115,0.0,460.66,45.45,0.0
2020012116,0.0,519.93,0.0,0.0
2020012117,0.0,526.47,0.0,0.0
2020012118,0.0,447.44,0.0,0.0
2020012119,0.0,331.34,0.0,37.96
2020012120,0.0,191.59,0.0,214.41
2020012121,0.0,44.06,0.0,437.87
2020012122,0.0,0.0,0.0,643.63
2020012123,0.0,0.0,0.0,838.66
2020012200,0.0,0.0,0.0,961.92
2020012201,25.13,0.0,0.0,997.48
2020012202,133.88,0.0,0.0,1012.98
2020012203,284.42,0.0,0.0,948.24
2020012204,404.18,0.0,0.0,865.42
2020012205,560.16,0.0,0.0,694.2
2020012206,662.98,0.0,0.0,483.38
2020012207,697.82,0.0,9.18,267.73
2020012208,545.16,0.0,89.2,60.29
2020012209,374.3,0.0,144.21,0.0
2020012210,204.89,0.0,174.51,0.0
2020012211,44.69,0.0,189.25,0.0
2020012212,0.0,20.61,180.62,0.0
2020012213,0.0,153.95,139.52,0.0
2020012214,0.0,334.38,93.73,0.0
2020012215,0.0,453.14,35.43,0.0
2020012216,0.0,512.04,0.0,0.0
2020012217,0.0,514.51,0.0,0.0
2020012218,0.0,465.38,0.0,0.0
2020012219,0.0,360.08,0.0,34.29
2020012220,0.0,212.53,0.0,210.48
2020012221,0.0,56.01,0.0,446.58
2020012222,0.0,0.0,0.0,653.18
2020012223,0.0,0.0,0.0,832.65
2020012300,0.0,0.0,0.0,921.01
2020012301,24.23,0.0,0.0,957.09
2020012302,136.02,0.0,0.0,973.74
2020012303,265.0,0.0,0.0,843.94
2020012304,369.55,0.0,0.0,731.18
2020012305,460.63,0.0,0.0,566.98
2020012306,529.32,0.0,0.0,365.54
2020012307,517.79,0.0,10.61,191.15
2020012308,412.32,0.0,53.89,38.05
2020012309,295.27,0.0,69.25,0.0
2020012310,161.82,0.0,108.73,0.0
2020012311,31.73,0.0,120.65,0.0
2020012312,0.0,20.84,103.97,0.0
2020012313,0.0,118.28,91.22,0.0
2020012314,0.0,265.89,54.16,0.0
2020012315,0.0,349.71,32.05,0.0
2020012316,0.0,421.66,0.0,0.0
2020012317,0.0,394.26,0.0,0.0
2020012318,0.0,332.94,0.0,0.0
2020012319,0.0,261.37,0.0,28.27
2020012320,0.0,133.3,0.0,130.99
2020012321,0.0,33.82,0.0,288.34
2020012322,0.0,0.0,0.0,423.45
2020012323,0.0,0.0,0.0,588.11
2020012400,0.0,0.0,0.0,524.22
2020012401,27.97,0.0,0.0,511.05
2020012402,112.58,0.0,0.0,692.55
2020012403,221.21,0.0,0.0,720.47
2020012404,318.2,0.0,0.0,622.98
2020012405,372.13,0.0,0.0,518.7
2020012406,450.66,0.0,0.0,338.0
2020012407,383.98,0.0,10.27,169.45
2020012408,357.09,0.0,59.43,40.18
2020012409,249.36,0.0,87.16,0.0
2020012410,132.09,0.0,115.6,0.0
2020012411,28.16,0.0,131.14,0.0
2020012412,0.0,20.85,158.19,0.0
2020012413,0.0,149.48,115.77,0.0
2020012414,0.0,318.26,75.02,0.0
2020012415,0.0,435.98,36.37,0.0
2020012416,0.0,484.99,0.0,0.0
2020012417,0.0,486.84,0.0,0.0
2020012418,0.0,389.2,0.0,0.0
2020012419,0.0,276.61,0.0,20.78
2020012420,0.0,153.7,0.0,86.95
2020012421,0.0,43.24,0.0,176.4
2020012422,0.0,0.0,0.0,297.34
2020012423,0.0,0.0,0.0,436.23
2020012500,0.0,0.0,0.0,487.16
2020012501,23.33,0.0,0.0,385.3
2020012502,155.51,0.0,0.0,395.95
2020012503,357.86,0.0,0.0,413.46
2020012504,528.68,0.0,0.0,455.09
2020012505,597.15,0.0,0.0,495.26
2020012506,614.55,0.0,0.0,310.55
2020012507,584.21,0.0,9.95,152.93
2020012508,510.48,0.0,54.93,34.39
2020012509,363.28,0.0,90.11,0.0
2020012510,192.73,0.0,151.24,0.0
2020012511,27.93,0.0,142.03,0.0
2020012512,0.0,11.0,142.79,0.0
2020012513,0.0,15.39,123.12,0.0
2020012514,0.0,29.39,80.6,0.0
2020012515,0.0,40.73,29.93,0.0
2020012516,0.0,39.93,0.0,0.0
2020012517,0.0,100.23,0.0,0.0
2020012518,0.0,59.19,0.0,0.0
2020012519,0.0,38.48,0.0,27.18
2020012520,0.0,47.24,0.0,171.14
2020012521,0.0,35.05,0.0,391.34
2020012522,0.0,0.0,0.0,596.56
2020012523,0.0,0.0,0.0,769.08
2020012600,0.0,0.0,0.0,909.98
2020012601,27.77,0.0,0.0,931.62
2020012602,132.98,0.0,0.0,880.32
2020012603,273.6,0.0,0.0,790.42
2020012604,398.12,0.0,0.0,436.86
2020012605,537.93,0.0,0.0,330.25
2020012606,465.93,0.0,0.0,271.43
2020012607,460.98,0.0,9.32,113.6
2020012608,425.72,0.0,66.31,29.67
2020012609,301.35,0.0,157.19,0.0
2020012610,155.06,0.0,180.39,0.0
2020012611,29.93,0.0,238.98,0.0
2020012612,0.0,20.2,215.46,0.0
2020012613,0.0,125.12,190.66,0.0
2020012614,0.0,278.77,120.4,0.0
2020012615,0.0,385.46,45.92,0.0
2020012616,0.0,364.8,0.0,0.0
2020012617,0.0,348.92,0.0,0.0
2020012618,0.0,280.34,0.0,0.0
2020012619,0.0,217.34,0.0,25.15
2020012620,0.0,120.08,0.0,86.11
2020012621,0.0,38.9,0.0,189.17
2020012622,0.0,0.0,0.0,300.71
2020012623,0.0,0.0,0.0,537.15
2020012700,0.0,0.0,0.0,600.34
2020012701,26.8,0.0,0.0,748.84
2020012702,156.86,0.0,0.0,863.44
2020012703,328.7,0.0,0.0,899.5
2020012704,492.07,0.0,0.0,776.97
2020012705,585.62,0.0,0.0,635.45
2020012706,589.58,0.0,0.0,444.69
2020012707,573.52,0.0,10.22,219.59
2020012708,539.76,0.0,50.79,48.55
2020012709,388.55,0.0,75.84,0.0
2020012710,218.32,0.0,88.34,0.0
2020012711,39.66,0.0,82.66,0.0
2020012712,0.0,19.62,49.87,0.0
2020012713,0.0,87.42,44.96,0.0
2020012714,0.0,188.91,22.45,0.0
2020012715,0.0,239.1,19.18,0.0
2020012716,0.0,286.88,0.0,0.0
2020012717,0.0,191.0,0.0,0.0
2020012718,0.0,188.77,0.0,0.0
2020012719,0.0,152.83,0.0,29.24
2020012720,0.0,78.91,0.0,158.55
2020012721,0.0,36.2,0.0,337.47
2020012722,0.0,0.0,0.0,535.97
2020012723,0.0,0.0,0.0,672.96
2020012800,0.0,0.0,0.0,779.94
2020012801,34.2,0.0,0.0,789.08
2020012802,178.23,0.0,0.0,747.91
2020012803,346.48,0.0,0.0,665.58
2020012804,498.77,0.0,0.0,481.04
2020012805,617.63,0.0,0.0,393.0
2020012806,675.06,0.0,0.0,182.26
2020012807,656.32,0.0,6.9,94.77
2020012808,544.36,0.0,43.1,27.21
2020012809,387.54,0.0,104.48,0.0
2020012810,208.65,0.0,120.82,0.0
2020012811,29.7,0.0,190.96,0.0
2020012812,0.0,27.38,199.63,0.0
2020012813,0.0,140.55,161.99,0.0
2020012814,0.0,266.88,110.09,0.0
2020012815,0.0,357.19,45.92,0.0
